#;Start date;Start time;Completion date;Completion time;Duration;Status;How many years of professional experience do you have in software development or a technically related field?;Which role best describes your current position?;What type of organization do you work for?;What industry do you primarily work in?;Do you work in an environment with industry-specific compliance or regulatory requirements?;How strongly do regulatory requirements influence your willingness to use Agentic AI in software development?;How would you describe your experience with AI-assisted software development?;Which AI-powered development tools have you already tried? (multiple select) - GitHub Copilot;Which AI-powered development tools have you already tried? (multiple select) - Cursor;Which AI-powered development tools have you already tried? (multiple select) - OpenAI Codex;Which AI-powered development tools have you already tried? (multiple select) - Claude Code;Which AI-powered development tools have you already tried? (multiple select) - Windsurf;Which AI-powered development tools have you already tried? (multiple select) - Google Gemini CLI / Antigravity;Which AI-powered development tools have you already tried? (multiple select) - Devin;Which AI-powered development tools have you already tried? (multiple select) - Lovable;Which AI-powered development tools have you already tried? (multiple select) - Amazon Q Developer;How would you rate your ability to assess the potential of AI tools across SDLC phases?;Content block;Phase 1: Requirements Analysis & Planning;Phase 2: System Design / Architecture;Phase 3: Coding  / Implementation);Phase 4: Testing & Quality Assurance;Phase 5: Deployment & Integration;Phase 6: Maintenance & Operations;What do you see as the biggest challenges when using Agentic AI in software development?;How would you describe your typical interaction with AI development tools?;How often do you need to correct or rework AI-generated results?;What strategies do you use to ensure the quality of AI-generated code? - Manual code reviews;What strategies do you use to ensure the quality of AI-generated code? - Automated tests (unit, integration, E2E);What strategies do you use to ensure the quality of AI-generated code? - Static code analysis / linting;What strategies do you use to ensure the quality of AI-generated code? - Optimizing prompts through iteration and examples;What strategies do you use to ensure the quality of AI-generated code? - Providing architecture specs / context files to the AI;What strategies do you use to ensure the quality of AI-generated code? - Pair-programming mode with AI;What strategies do you use to ensure the quality of AI-generated code? - Cross-checking results with a second AI tool;To what extent do you agree with the following statement: "Agentic AI will fundamentally change how software is developed within the next 3 years.";Thinking about your own work: How has the use of AI tools changed your productivity?
"11";"02/12/2026";"04:09 PM";"02/12/2026";"04:14 PM";"4m 51s";"Completed";"2–5 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"__other__";"Yes";"5";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"0";"1";"1";"0";"1";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"5";"4";"5";"5";"4";"4";"Security risks (insecure code, vulnerable dependencies), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues), Code quality & correctness (logic errors, hallucinations)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"About half the time (30–60%)";"1";"0";"0";"0";"0";"0";"1";"9";"8"
"12";"02/12/2026";"03:17 PM";"02/12/2026";"03:19 PM";"2m 22s";"Completed";"6–10 years";"Data Engineer / Scientist / ML Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Not sure";"—";"I have tried AI tools but don’t use them regularly";"0";"0";"1";"0";"0";"1";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"4";"3";"3";"3";"4";"3";"Code quality & correctness (logic errors, hallucinations), Security risks (insecure code, vulnerable dependencies), Context limitations (codebase awareness, memory issues), Traceability & compliance (code authorship, license issues), Integration into workflows (CI/CD, code review friction)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"About half the time (30–60%)";"1";"0";"1";"0";"0";"0";"0";"7";"7"
"13";"02/12/2026";"03:10 PM";"02/12/2026";"03:13 PM";"3m 8s";"Completed";"> 10 years";"Project / Program / Delivery Manager";"Large enterprise (> 250 employees)";"__other__";"Yes";"5";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"0";"0";"0";"1";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"5";"3";"3";"4";"3";"4";"Code quality & correctness (logic errors, hallucinations), Traceability & compliance (code authorship, license issues), Integration into workflows (CI/CD, code review friction), Context limitations (codebase awareness, memory issues), Security risks (insecure code, vulnerable dependencies)";"Multi-agent – I use multiple AI tools for different tasks in parallel";"About half the time (30–60%)";"0";"0";"0";"1";"1";"0";"0";"6";"4"
"14";"02/12/2026";"02:30 PM";"—";"—";"—";"Incomplete";"> 10 years";"__other__";"Large enterprise (> 250 employees)";"Communications, Media & Technology";"Yes";"3";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
"15";"02/12/2026";"01:54 PM";"02/12/2026";"01:59 PM";"4m 12s";"Completed";"< 2 years";"Student / Trainee";"Large enterprise (> 250 employees)";"Resources (Energy, Utilities, Chemicals)";"Yes";"4";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"1";"0";"1";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"3";"4";"4";"4";"4";"3";"Security risks (insecure code, vulnerable dependencies), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues), Code quality & correctness (logic errors, hallucinations)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"Frequently (60–80%)";"1";"0";"0";"1";"0";"0";"0";"9";"9"
"16";"02/12/2026";"01:52 PM";"02/12/2026";"01:59 PM";"6m 36s";"Completed";"< 2 years";"Student / Trainee";"Large enterprise (> 250 employees)";"Communications, Media & Technology";"No";"—";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"1";"0";"0";"0";"1";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"5";"5";"5";"5";"5";"5";"Security risks (insecure code, vulnerable dependencies), Code quality & correctness (logic errors, hallucinations), Traceability & compliance (code authorship, license issues), Integration into workflows (CI/CD, code review friction), Context limitations (codebase awareness, memory issues)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"Frequently (60–80%)";"0";"0";"0";"1";"0";"0";"0";"7";"7"
"17";"02/12/2026";"01:45 PM";"—";"—";"—";"Incomplete";"2–5 years";"Functional / Technical Consultant";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"2";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"0";"0";"0";"0";"0";"0";"0";"0";"1";"I have limited knowledge and my answers are rough estimates";"—";"5";"3";"5";"4";"4";"4";"Context limitations (codebase awareness, memory issues), Code quality & correctness (logic errors, hallucinations), Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies), Integration into workflows (CI/CD, code review friction)";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
"18";"02/12/2026";"01:08 PM";"02/12/2026";"01:13 PM";"4m 44s";"Completed";"2–5 years";"Functional / Technical Consultant";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"4";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"4";"5";"5";"4";"3";"5";"Security risks (insecure code, vulnerable dependencies), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction), Code quality & correctness (logic errors, hallucinations), Traceability & compliance (code authorship, license issues)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Rarely (10–30%)";"1";"0";"0";"0";"0";"0";"0";"10";"8"
"19";"02/12/2026";"12:58 PM";"02/12/2026";"01:20 PM";"10m 47s";"Completed";"< 2 years";"Student / Trainee";"Large enterprise (> 250 employees)";"Communications, Media & Technology";"Yes";"5";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"0";"0";"1";"0";"0";"1";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"2";"3";"3";"3";"3";"3";"Integration into workflows (CI/CD, code review friction), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies)";"Multi-agent – I use multiple AI tools for different tasks in parallel";"Rarely (10–30%)";"0";"0";"0";"0";"0";"0";"1";"8";"9"
"20";"02/12/2026";"12:14 PM";"02/12/2026";"12:20 PM";"5m 12s";"Completed";"> 10 years";"Data Engineer / Scientist / ML Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"4";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have hands-on experience and can assess from practice";"—";"4";"3";"5";"2";"1";"1";"Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"Rarely (10–30%)";"1";"0";"1";"1";"0";"0";"0";"10";"10"
"21";"02/12/2026";"12:05 PM";"02/12/2026";"12:08 PM";"2m 53s";"Completed";"< 2 years";"QA / Test Engineer";"Large enterprise (> 250 employees)";"Communications, Media & Technology";"Yes";"4";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"0";"0";"0";"1";"0";"1";"1";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"3";"4";"3";"5";"4";"5";"Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction), Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues)";"Multi-agent – I use multiple AI tools for different tasks in parallel";"Rarely (10–30%)";"0";"0";"1";"0";"0";"0";"0";"8";"5"
"22";"02/12/2026";"11:54 AM";"02/12/2026";"11:58 AM";"3m 13s";"Completed";"2–5 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"Banking / Insurance";"Yes";"3";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"1";"0";"0";"0";"1";"0";"0";"1";"I have hands-on experience and can assess from practice";"—";"3";"4";"4";"4";"4";"4";"Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues), Context limitations (codebase awareness, memory issues), Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction)";"Multi-agent – I use multiple AI tools for different tasks in parallel";"About half the time (30–60%)";"1";"0";"1";"0";"1";"0";"0";"8";"9"
"23";"02/12/2026";"11:48 AM";"02/12/2026";"11:52 AM";"3m 53s";"Completed";"< 2 years";"Business Analyst / Requirements Engineer";"Large enterprise (> 250 employees)";"Banking / Insurance";"No";"—";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"5";"3";"4";"3";"4";"5";"Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Security risks (insecure code, vulnerable dependencies), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"About half the time (30–60%)";"0";"1";"1";"0";"1";"1";"0";"8";"9"
"24";"02/12/2026";"11:38 AM";"02/12/2026";"11:39 AM";"1m 6s";"Completed";"< 2 years";"UX/UI Designer / Researcher";"Large enterprise (> 250 employees)";"Banking / Insurance";"Yes";"4";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"1";"0";"0";"1";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"5";"4";"5";"5";"3";"3";"Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"About half the time (30–60%)";"1";"0";"0";"0";"0";"0";"0";"10";"8"
"25";"02/12/2026";"11:04 AM";"02/12/2026";"11:13 AM";"8m 14s";"Completed";"> 10 years";"Software Architect";"Large enterprise (> 250 employees)";"Aerospace & Defense";"Yes";"4";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"3";"4";"4";"4";"3";"2";"Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies), Context limitations (codebase awareness, memory issues), Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"About half the time (30–60%)";"1";"0";"1";"0";"0";"0";"0";"10";"8"
"26";"02/12/2026";"10:39 AM";"02/12/2026";"10:46 AM";"6m 23s";"Completed";"6–10 years";"Functional / Technical Consultant";"Large enterprise (> 250 employees)";"__other__";"Yes";"4";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"1";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"4";"4";"5";"5";"4";"2";"Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction), Context limitations (codebase awareness, memory issues), Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies)";"Multi-agent – I use multiple AI tools for different tasks in parallel";"About half the time (30–60%)";"1";"1";"0";"1";"0";"0";"0";"8";"8"
"27";"02/12/2026";"10:19 AM";"02/12/2026";"10:24 AM";"5m 22s";"Completed";"> 10 years";"Solution Architect / Sales";"Large enterprise (> 250 employees)";"Resources (Energy, Utilities, Chemicals)";"Yes";"2";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"5";"5";"4";"4";"4";"5";"Code quality & correctness (logic errors, hallucinations), Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"Rarely (10–30%)";"0";"0";"0";"1";"1";"0";"1";"10";"9"
"28";"02/12/2026";"10:04 AM";"02/12/2026";"10:08 AM";"3m 45s";"Completed";"< 2 years";"Student / Trainee";"Mid-size company (50–250 employees)";"Resources (Energy, Utilities, Chemicals)";"No";"—";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"3";"2";"2";"1";"3";"3";"Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Security risks (insecure code, vulnerable dependencies), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"Almost never (< 10% of results)";"0";"0";"0";"0";"0";"0";"0";"5";"5"
"29";"02/12/2026";"10:01 AM";"02/12/2026";"10:05 AM";"3m 55s";"Completed";"2–5 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"5";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"1";"0";"1";"0";"0";"0";"0";"0";"I have hands-on experience and can assess from practice";"—";"1";"2";"4";"3";"3";"3";"Security risks (insecure code, vulnerable dependencies), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Traceability & compliance (code authorship, license issues), Integration into workflows (CI/CD, code review friction)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Frequently (60–80%)";"1";"0";"0";"1";"1";"0";"0";"6";"7"
"30";"02/12/2026";"09:44 AM";"02/12/2026";"09:54 AM";"10m 0s";"Completed";"> 10 years";"Data Engineer / Scientist / ML Engineer";"Large enterprise (> 250 employees)";"Health / Public Service";"Yes";"4";"I have tried AI tools but don’t use them regularly";"0";"0";"0";"0";"1";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"4";"2";"5";"5";"5";"4";"Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues), Context limitations (codebase awareness, memory issues), Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Frequently (60–80%)";"1";"0";"0";"1";"1";"0";"0";"10";"2"
"31";"02/12/2026";"09:26 AM";"02/12/2026";"09:30 AM";"4m 9s";"Completed";"> 10 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"1";"I have tried AI tools but don’t use them regularly";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"2";"3";"4";"3";"2";"1";"Code quality & correctness (logic errors, hallucinations), Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies), Integration into workflows (CI/CD, code review friction), Context limitations (codebase awareness, memory issues)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Frequently (60–80%)";"1";"0";"0";"0";"0";"0";"0";"7";"5"
"32";"02/12/2026";"08:09 AM";"—";"—";"—";"Incomplete";"< 2 years";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"0";"0";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
"33";"02/12/2026";"07:33 AM";"—";"—";"—";"Incomplete";"< 2 years";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"0";"0";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
"34";"02/12/2026";"06:34 AM";"02/12/2026";"06:38 AM";"3m 39s";"Completed";"> 10 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"5";"I have tried AI tools but don’t use them regularly";"1";"0";"1";"0";"0";"1";"0";"0";"0";"I have hands-on experience and can assess from practice";"—";"5";"5";"5";"5";"5";"5";"Security risks (insecure code, vulnerable dependencies), Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction), Context limitations (codebase awareness, memory issues), Traceability & compliance (code authorship, license issues)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Frequently (60–80%)";"1";"0";"0";"0";"1";"0";"0";"10";"10"
"35";"02/12/2026";"04:52 AM";"—";"—";"—";"Incomplete";"< 2 years";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"0";"0";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
